full_name,truncated_name
Advanced Copper Recycling Facility,Advanced Copper Recycling
Baytown Olefins Plant Carbon Reduction Project,Baytown Olefins Plant Car
Calcined Clay Production for Limestone Calcined Clay Cement ,Calcined Clay Production 
Decarbonization of Black Liquor Concentration through Energy Efficient Membrane Separation,Decarbonization of Black 
Deeply Decarbonized Cement,Deeply Decarbonized Cemen
Delicious Decarbonization Through Integrated Electrification and Energy Storage,Delicious Decarbonization
First Commercial Electrochemical Cement Manufacturing,First Commercial Electroc
Flexible Fuel Electric Hybrid Glass Furnace Demonstration,Flexible Fuel Electric Hy
Glass Furnace Decarbonization Technology,Glass Furnace Decarboniza
Green Aluminum Smelter,Green Aluminum Smelter
Heat Batteries for Deep Decarbonization of the Beverage Industry,Heat Batteries for Deep D
Hybrid Electric Glass Furnance Project,Hybrid Electric Glass Fur
Hydrogen-Ready Direct Reduced Iron Plant and Electric Melting Furnace Installation,Hydrogen-Ready Direct Red
Induction Melting Upgrade,Induction Melting Upgrade
Iron Electric Induction Conversion,Iron Electric Induction C
Lebec Net Zero Cement Plant Project,Lebec Net Zero Cement Pla
Low Carbon SmartMelt Furnace Conversion,Low Carbon SmartMelt Furn
"Low-Emissions, Cold Agglomerated Iron Ore Briquette Production","Low-Emissions, Cold Agglo"
Mitchell Cement Plant Decarbonization Project,Mitchell Cement Plant Dec
Nexcast: Next Generation Aluminium Mini Mill,Nexcast: Next Generation 
Novel CO2 Utilization for Electric Vehicle Battery Chemical Production,Novel CO2 Utilization for
Polyethylene Terephthalate Recycling Decarbonization Project,Polyethylene Terephthalat
Star e-Methanol,Star e-Methanol
Steam-Generating Heat Pumps for Cross Sector Deep Decarbonization ,Steam-Generating Heat Pum
Steel Slab Electrified Induction Reheat Furnace Upgrade,Steel Slab Electrified In
Sustainable Ethylene from CO2 Utilization with Renewable Energy,Sustainable Ethylene from
Syngas Production from Recycled Chemical Byproduct Streams,Syngas Production from Re
Vikrell Electric Boiler & Microgrid System,Vikrell Electric Boiler  
Zero Waste Advanced Aluminum Recycling,Zero Waste Advanced Alumi
